iter	Passed	Remaining
0	76	38285
1	91	22786
2	113	18751
3	126	15678
4	140	13925
5	157	12953
6	163	11486
7	173	10654
8	182	9939
9	189	9274
10	198	8836
11	207	8418
12	216	8122
13	218	7596
14	224	7248
15	227	6868
16	232	6598
17	239	6410
18	247	6255
19	255	6127
20	264	6025
21	266	5792
22	270	5614
23	274	5441
24	277	5269
25	281	5125
26	293	5143
27	295	4983
28	297	4825
29	301	4726
30	308	4670
31	312	4571
32	314	4445
33	318	4361
34	321	4273
35	324	4179
36	326	4081
37	334	4062
38	345	4083
39	348	4010
40	352	3951
41	366	4001
42	370	3934
43	378	3924
44	387	3918
45	391	3867
46	401	3872
47	413	3890
48	417	3841
49	420	3783
50	428	3776
51	438	3780
52	442	3728
53	449	3711
54	456	3692
55	472	3742
56	482	3752
57	484	3694
58	486	3638
59	493	3619
60	496	3575
61	499	3529
62	504	3497
63	517	3525
64	534	3580
65	548	3608
66	555	3593
67	557	3544
68	563	3522
69	565	3472
70	571	3453
71	584	3472
72	587	3438
73	597	3440
74	607	3443
75	616	3436
76	617	3393
77	625	3381
78	627	3341
79	643	3380
80	646	3342
81	657	3352
82	664	3340
83	673	3336
84	676	3304
85	681	3281
86	702	3336
87	706	3306
88	713	3294
89	733	3339
90	736	3309
91	747	3314
92	756	3310
93	759	3280
94	771	3287
95	790	3326
96	796	3308
97	811	3327
98	819	3319
99	822	3290
100	825	3263
101	834	3256
102	840	3240
103	861	3279
104	882	3319
105	890	3310
106	908	3335
107	927	3367
108	936	3359
109	954	3383
110	963	3377
111	993	3442
112	1001	3428
113	1010	3420
114	1020	3417
115	1038	3439
116	1061	3473
117	1068	3459
118	1085	3476
119	1090	3454
120	1108	3473
121	1125	3486
122	1144	3507
123	1153	3496
124	1163	3490
125	1174	3487
126	1186	3485
127	1200	3490
128	1204	3463
129	1210	3445
130	1212	3415
131	1216	3390
132	1223	3376
133	1238	3382
134	1241	3357
135	1250	3346
136	1256	3329
137	1273	3341
138	1289	3348
139	1291	3322
140	1297	3303
141	1301	3282
142	1310	3270
143	1318	3258
144	1331	3260
145	1342	3256
146	1354	3253
147	1368	3254
148	1378	3247
149	1388	3240
150	1391	3216
151	1399	3204
152	1402	3179
153	1408	3165
154	1415	3150
155	1427	3148
156	1437	3140
157	1447	3132
158	1460	3131
159	1466	3115
160	1472	3100
161	1488	3105
162	1508	3118
163	1512	3097
164	1513	3071
165	1527	3073
166	1536	3063
167	1545	3055
168	1557	3050
169	1570	3048
170	1580	3040
171	1602	3055
172	1616	3054
173	1619	3034
174	1621	3010
175	1634	3008
176	1651	3012
177	1661	3005
178	1674	3002
179	1684	2994
180	1697	2991
181	1707	2984
182	1724	2987
183	1738	2985
184	1748	2976
185	1756	2964
186	1764	2953
187	1774	2945
188	1785	2937
189	1790	2921
190	1810	2929
191	1829	2934
192	1834	2918
193	1849	2917
194	1867	2920
195	1889	2930
196	1900	2923
197	1909	2913
198	1929	2918
199	1951	2927
200	1963	2920
201	1973	2912
202	1983	2902
203	1992	2891
204	2002	2882
205	2011	2871
206	2029	2872
207	2041	2866
208	2045	2848
209	2052	2833
210	2060	2822
211	2068	2809
212	2071	2791
213	2084	2786
214	2087	2767
215	2098	2759
216	2115	2759
217	2131	2756
218	2148	2757
219	2156	2744
220	2171	2741
221	2189	2742
222	2199	2732
223	2200	2711
224	2207	2697
225	2215	2685
226	2224	2675
227	2227	2656
228	2234	2643
229	2240	2630
230	2252	2622
231	2255	2605
232	2265	2595
233	2267	2578
234	2284	2576
235	2298	2570
236	2318	2572
237	2333	2568
238	2355	2572
239	2372	2570
240	2389	2567
241	2400	2559
242	2411	2550
243	2419	2538
244	2428	2527
245	2432	2511
246	2440	2499
247	2443	2483
248	2453	2473
249	2471	2471
250	2474	2454
251	2478	2439
252	2496	2436
253	2505	2426
254	2507	2409
255	2510	2393
256	2525	2388
257	2549	2391
258	2561	2383
259	2587	2388
260	2606	2386
261	2620	2380
262	2630	2370
263	2639	2359
264	2655	2354
265	2658	2338
266	2666	2326
267	2679	2319
